Regiao_Administrativa,Ano,Tipo_Crime,Qtd_Vitimas,Populacao,Renda_Per_Capita,Idade_Media
Arapoanga,2015,Homicídio,0,51155,,
Arapoanga,2015,Latrocínio,0,51155,,
Arapoanga,2015,Lesão Seguida de Morte,0,51155,,
Arapoanga,2015,Feminicídio,0,51155,,
Arapoanga,2016,Homicídio,0,51155,,
Arapoanga,2016,Latrocínio,0,51155,,
Arapoanga,2016,Lesão Seguida de Morte,0,51155,,
Arapoanga,2016,Feminicídio,0,51155,,
Arapoanga,2017,Homicídio,0,51155,,
Arapoanga,2017,Latrocínio,0,51155,,
Arapoanga,2017,Lesão Seguida de Morte,0,51155,,
Arapoanga,2017,Feminicídio,0,51155,,
Arapoanga,2018,Homicídio,0,51155,,
Arapoanga,2018,Latrocínio,0,51155,,
Arapoanga,2018,Lesão Seguida de Morte,0,51155,,
Arapoanga,2018,Feminicídio,0,51155,,
Arapoanga,2019,Homicídio,0,51155,,
Arapoanga,2019,Latrocínio,0,51155,,
Arapoanga,2019,Lesão Seguida de Morte,0,51155,,
Arapoanga,2019,Feminicídio,0,51155,,
Arapoanga,2020,Homicídio,0,51155,,
Arapoanga,2020,Latrocínio,0,51155,,
Arapoanga,2020,Lesão Seguida de Morte,0,51155,,
Arapoanga,2020,Feminicídio,0,51155,,
Arapoanga,2021,Homicídio,0,51155,,
Arapoanga,2021,Latrocínio,0,51155,,
Arapoanga,2021,Lesão Seguida de Morte,0,51155,,
Arapoanga,2021,Feminicídio,0,51155,,
Arapoanga,2022,Homicídio,0,51155,,
Arapoanga,2022,Latrocínio,0,51155,,
Arapoanga,2022,Lesão Seguida de Morte,0,51155,,
Arapoanga,2022,Feminicídio,0,51155,,
Arapoanga,2023,Homicídio,0,51155,,
Arapoanga,2023,Latrocínio,0,51155,,
Arapoanga,2023,Lesão Seguida de Morte,0,51155,,
Arapoanga,2023,Feminicídio,0,51155,,
Arapoanga,2024,Homicídio,0,51155,,
Arapoanga,2024,Latrocínio,0,51155,,
Arapoanga,2024,Lesão Seguida de Morte,0,51155,,
Arapoanga,2024,Feminicídio,0,51155,,
Arniqueira,2015,Homicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2015,Latrocínio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2015,Lesão Seguida de Morte,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2015,Feminicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2016,Homicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2016,Latrocínio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2016,Lesão Seguida de Morte,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2016,Feminicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2017,Homicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2017,Latrocínio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2017,Lesão Seguida de Morte,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2017,Feminicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2018,Homicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2018,Latrocínio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2018,Lesão Seguida de Morte,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2018,Feminicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2019,Homicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2019,Latrocínio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2019,Lesão Seguida de Morte,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2019,Feminicídio,0,46679,2791.2653987611307,36.40620782726046
Arniqueira,2020,Homicídio,6,46679,2791.2653987611307,36.40620782726046
Arniqueira,2020,Latrocínio,1,46679,2791.2653987611307,36.40620782726046
